name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year,v7_status,v7_pending_review,v7_change_log
Telekom Malaysia IPDC (Iskandar Puteri),Telekom Malaysia,Telekom Malaysia,1.4349479,103.5984284,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CHPX+6G, Kampung Baharu, 81550 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Telekom Malaysia IPDC (Iskandar Puteri),,,,,,Trade Press (NER extraction),Unknown,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_34 (haversine=144m),inherited from v6 master unchanged
TM-Nxera JV Campus (Johor),TM / Nxera,Telekom Malaysia / Nxera,1.434379,103.620491,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CJMC+Q5, 79100 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,TM-Nxera JV Campus (Johor),,,,,,Trade Press (NER extraction),Unknown,,2024.0,inherited,,inherited from v6 master unchanged
Area Group Campus (Kedah),Area Group,Area Group,6.5058846,100.4250382,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"GC4G+92 Bukit Kayu Hitam, Kedah, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Area Group Campus (Kedah),,,,,,Trade Press (NER extraction),Under Construction,,2024.0,inherited,,inherited from v6 master unchanged
AirTrunk JHB1 (Johor),AirTrunk,AirTrunk,1.4798575,103.7642576,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,AirTrunk JHB1 (Johor),,,,,,Trade Press (NER extraction),Operational,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_23 (haversine=0m),inherited from v6 master unchanged
AirTrunk JHB2 (Johor),AirTrunk,AirTrunk,1.43,103.6,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CJJ2+22 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,AirTrunk JHB2 (Johor),,,,,,Trade Press (NER extraction),Planned,,2025.0,inherited,,inherited from v6 master unchanged
Vantage Cyberjaya Campus 2,Vantage Data Centers,Vantage Data Centers,2.9041534,101.6516027,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"15, Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage Cyberjaya Campus 2,,,,,,Trade Press (NER extraction),Under Construction,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_31 (haversine=77m),inherited from v6 master unchanged
Vantage / Yondr Sedenak (Johor),Vantage / Yondr,Vantage / Yondr,1.6981517,103.4085948,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,6,1.0,"MCX5+7C Kayu Ara Pasong, Johor, Malaysia",,osm_way=1432337902@352m | osm_way=1432337903@439m | osm_way=1432337905@122m | osm_way=1432337910@421m | osm_way=1432337911@245m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage / Yondr Sedenak (Johor),,,,,,Trade Press (NER extraction),Under Development,,2025.0,inherited,,inherited from v6 master unchanged
DayOne Nusajaya Tech Park Campus,DayOne,DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,v7.1 fix 2: renamed from 'DayOne (Johor)' to campus-level label; coincident coord with v7_row_33 (GDS Nusajaya NTP1) may indicate same physical building — user to decide.,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,DayOne (Johor),,,,,,Trade Press (NER extraction),Unknown,,,pending_review,"sweep_cotenant_pair:paired_with_v7_row_28 (haversine=0m) || review:campus_vs_building_decision — coincident coord with v7_row_33 (NTP1); r21 had generic 'DayOne (Johor)' name, r33 is NTP1-specific. Determine whether to collapse or keep separate as campus-vs-building.",inherited from v6 master unchanged | v7.1 fix 2: renamed to campus label; flagged review:campus_vs_building_decision (kept both per building-granularity default).
EdgeConneX Cyberjaya,EdgeConneX,EdgeConneX,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"WMC4+G9 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Cyberjaya,,,,,,Trade Press (NER extraction),Unknown,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_37 (haversine=0m),inherited from v6 master unchanged
EdgeConneX Johor,EdgeConneX,EdgeConneX,1.4798575,103.7642576,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Johor,,,,,,Trade Press (NER extraction),Unknown,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_17 (haversine=0m),inherited from v6 master unchanged
EdgeConneX Bukit Jalil,EdgeConneX,EdgeConneX,3.0586745,101.6917068,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Ppa1m, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Bukit Jalil,,,,,,Trade Press (NER extraction),Unknown,,,inherited,,inherited from v6 master unchanged
Princeton Digital Group JH1 (Johor),Princeton Digital Group,Princeton Digital Group,1.6923009,103.4145192,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,3,1.0,"MCR7+WR Kayu Ara Pasong, Johor, Malaysia",merged from v6_row_93: https://www.peeringdb.com/fac/14647,"osm_way=1432337899@239m || merged_from='Princeton Digital JH1 Campus (Sedenak)'@(1.6925127,103.4147133) src=Manual Curation [same-op coord-tight] [carries osm_way=1432337900@363m; osm_way=1432337901@262m] | merged from v6_row_93: pdb_id=14647 | clli= | region=Asia Pacific | status=ok",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Princeton Digital Group JH1 (Johor),,,,,,Trade Press (NER extraction),Unknown,,,updated,,dedup_merge_confirmed: absorbed v6_row_93 (JH1)
K2 Strategic Sedenak (Johor),K2 Strategic,K2 Strategic,1.7,103.4,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"P92X+2X Kayu Ara Pasong, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,K2 Strategic Sedenak (Johor),,,,,,Trade Press (NER extraction),Operational,,2024.0,inherited,,inherited from v6 master unchanged
"Open DC PE2 (Bayan Lepas, Penang)",Open DC,Open DC,5.2966983,100.2894956,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Plot 18 & 19, Medan Bayan Lepas, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Open DC PE2 (Bayan Lepas, Penang)",,,,,,Trade Press (NER extraction),Operational,,2025.0,inherited,,inherited from v6 master unchanged
"Empyrion Digital MY1 (Nusajaya, Johor)",Empyrion Digital,Empyrion Digital,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Empyrion Digital MY1 (Nusajaya, Johor)",,,,,,Trade Press (NER extraction),Planned,,2025.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_21 (haversine=0m),inherited from v6 master unchanged
Bytedance (Johor),Bytedance,Bytedance,1.9343998,103.3587288,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"W9M5+QF Renggam, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Bytedance (Johor),,,,,,Trade Press (NER extraction),Unknown,,,inherited,,inherited from v6 master unchanged
Google Elmina Business Park (Selangor),Google,Google,3.2266053,101.5221802,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"6GGC+JV Sungai Buloh, Selangor, Malaysia",,osm_way=1448536198@445m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Google Elmina Business Park (Selangor),,,,,,Trade Press (NER extraction),Unknown,,,inherited,,inherited from v6 master unchanged
Equinix KL1 (Cyberjaya),Equinix,Equinix,2.90443,101.6509691,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"900 cabinets, 2630 sqm; No 2 Jalan Cyber Point 4; opened 2024; Equinix press release",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Equinix KL1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_19 (haversine=77m),inherited from v6 master unchanged
"Equinix JH1 (Iskandar Puteri, Johor)",Equinix,Equinix,1.4327058,103.5981429,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"500 cabinets, 1800 sqm; Nusajaya Tech Park NTP; $40M investment; opened 2024; Equinix blog",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Equinix JH1 (Iskandar Puteri, Johor)",,,,,,Manual Curation (public sources),Operational,,2024.0,inherited,,inherited from v6 master unchanged
GDS Nusajaya NTP1 (Johor),GDS / DayOne,GDS / DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; 69.5MW total across NTP1-3; Nusajaya Tech Park; launched 2023; GDS press release | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Nusajaya NTP1 (Johor),,,,,,Manual Curation (public sources),Operational,,2023.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_21 (haversine=0m) || sweep_potential_dup:paired_with_v7_row_34 (haversine=111m) || review:campus_vs_building_decision — paired with v7_row_21 (DayOne campus pin) || pending_satellite_coord_refinement:NTP1,inherited from v6 master unchanged | v7.1 fix 2: cross-ref flag added for campus-vs-building decision with v7_row_21. | v7.1 fix 6: documented shared-geocode status; coord refinement deferred.
GDS Nusajaya NTP2 (Johor),GDS / DayOne,GDS / DayOne,1.4353363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.001 lat; GDS press release | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP2 (Johor),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_14 (haversine=144m) || sweep_potential_dup:paired_with_v7_row_33 (haversine=111m) || pending_satellite_coord_refinement:NTP2,inherited from v6 master unchanged | v7.1 fix 6: documented shared-geocode status; coord refinement deferred.
GDS Nusajaya NTP3 (Johor),GDS / DayOne,GDS / DayOne,1.4363363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.002 lat; GDS press release | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP3 (Johor),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_potential_dup:paired_with_v7_row_34 (haversine=111m) || pending_satellite_coord_refinement:NTP3,inherited from v6 master unchanged | v7.1 fix 6: documented shared-geocode status; coord refinement deferred.
GDS Kempas Lama (Johor),GDS / DayOne,GDS / DayOne,1.543196,103.6965002,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"New campus; Kempas Lama, Johor; Baxtel",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Kempas Lama (Johor),,,,,,Manual Curation (public sources),Under Construction,,,inherited,,inherited from v6 master unchanged
STT Cyberjaya DC.2,STT GDC / Basis Bay,STT GDC / Basis Bay,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),JV with Basis Bay; ~20MW across 2 buildings; LEED Gold target; STT GDC press release Nov 2023,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STT Cyberjaya DC.2,,,,,,Manual Curation (public sources),Under Construction,,2023.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_22 (haversine=0m),inherited from v6 master unchanged
STT Johor 1 (Nusa Cemerlang),STT GDC,STT GDC,1.445292,103.6037419,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"16MW first building; 22 acres, 120MW total campus; Nusa Cemerlang Industrial Park; groundbreaking Feb 2025; DCD",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STT Johor 1 (Nusa Cemerlang),,,,,,Manual Curation (public sources),Under Construction,,2025.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_50 (haversine=0m),inherited from v6 master unchanged
