"name","operator","lat","lon","sources","osm_id","wikidata_id","provider","region_code","n_sources","ADMIN","ISO_A3","CONTINENT","SUBREGION","name_normalized","has_operator","in_both_sources","source_category"
"Unnamed facility (OSM way 1432337885)",NA,1.7033833,103.4134036,"OpenStreetMap","1432337885","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337885)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337898)",NA,1.6939827,103.4190473,"OpenStreetMap","1432337898","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337898)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337899)",NA,1.6921349,103.4123772,"OpenStreetMap","1432337899","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337899)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337900)",NA,1.6930986,103.4179246,"OpenStreetMap","1432337900","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337900)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337901)",NA,1.6923957,103.417064,"OpenStreetMap","1432337901","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337901)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337902)",NA,1.6977265,103.4117312,"OpenStreetMap","1432337902","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337902)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337903)",NA,1.6984869,103.4125333,"OpenStreetMap","1432337903","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337903)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337904)",NA,1.69994,103.4128608,"OpenStreetMap","1432337904","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337904)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337905)",NA,1.6975615,103.4076651,"OpenStreetMap","1432337905","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337905)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337908)",NA,1.7046043,103.412434,"OpenStreetMap","1432337908","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337908)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337909)",NA,1.7029916,103.4103001,"OpenStreetMap","1432337909","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337909)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337910)",NA,1.7019183,103.4089932,"OpenStreetMap","1432337910","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337910)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337911)",NA,1.6988159,103.4106934,"OpenStreetMap","1432337911","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337911)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337912)",NA,1.6942378,103.4208341,"OpenStreetMap","1432337912","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337912)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1448536198)",NA,3.2230752,101.5202934,"OpenStreetMap","1448536198","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1448536198)",FALSE,FALSE,"OSM Only"
"Bridge Data Centres MY02 (Cyberjaya)","Bridge Data Centres",2.92,101.655,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Bridge Data Centres MY02 (Cyberjaya)",TRUE,FALSE,"Trade Press"
"Bridge Data Centres (Johor)","Bridge Data Centres",1.695,103.42,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Bridge Data Centres (Johor)",TRUE,FALSE,"Trade Press"
"AIMS Bangunan AIMS / KL2 (Kuala Lumpur)","AIMS",3.14,101.69,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","AIMS Bangunan AIMS / KL2 (Kuala Lumpur)",TRUE,FALSE,"Trade Press"
"AIMS Cyberjaya Block 2","AIMS",2.925,101.66,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","AIMS Cyberjaya Block 2",TRUE,FALSE,"Trade Press"
"NTT Gelang Patah Campus (Johor)","NTT DATA",1.5,103.75,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","NTT Gelang Patah Campus (Johor)",TRUE,FALSE,"Trade Press"
"NTT Cyberjaya CBJ6","NTT DATA",2.93,101.658,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","NTT Cyberjaya CBJ6",TRUE,FALSE,"Trade Press"
"YTL Green Data Center Park (Kulai, Johor)","YTL Power",1.7,103.41,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","YTL Green Data Center Park (Kulai, Johor)",TRUE,FALSE,"Trade Press"
"Telekom Malaysia KVDC (Cyberjaya)","Telekom Malaysia",2.93,101.66,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Telekom Malaysia KVDC (Cyberjaya)",TRUE,FALSE,"Trade Press"
"Telekom Malaysia IPDC (Iskandar Puteri)","Telekom Malaysia",1.52,103.64,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Telekom Malaysia IPDC (Iskandar Puteri)",TRUE,FALSE,"Trade Press"
"TM-Nxera JV Campus (Johor)","TM / Nxera",1.51,103.63,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","TM-Nxera JV Campus (Johor)",TRUE,FALSE,"Trade Press"
"Area Group Campus (Kedah)","Area Group",6.53,100.43,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Area Group Campus (Kedah)",TRUE,FALSE,"Trade Press"
"AirTrunk JHB1 (Johor)","AirTrunk",1.698,103.412,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","AirTrunk JHB1 (Johor)",TRUE,FALSE,"Trade Press"
"AirTrunk JHB2 (Johor)","AirTrunk",1.7,103.415,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","AirTrunk JHB2 (Johor)",TRUE,FALSE,"Trade Press"
"Vantage Cyberjaya Campus 2","Vantage Data Centers",2.925,101.662,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Vantage Cyberjaya Campus 2",TRUE,FALSE,"Trade Press"
"Vantage / Yondr Sedenak (Johor)","Vantage / Yondr",1.705,103.418,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Vantage / Yondr Sedenak (Johor)",TRUE,FALSE,"Trade Press"
"DayOne (Johor)","DayOne",1.69,103.41,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","DayOne (Johor)",TRUE,FALSE,"Trade Press"
"EdgeConneX Cyberjaya","EdgeConneX",2.928,101.658,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","EdgeConneX Cyberjaya",TRUE,FALSE,"Trade Press"
"EdgeConneX Johor","EdgeConneX",1.692,103.41,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","EdgeConneX Johor",TRUE,FALSE,"Trade Press"
"EdgeConneX Bukit Jalil","EdgeConneX",3.06,101.68,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","EdgeConneX Bukit Jalil",TRUE,FALSE,"Trade Press"
"Princeton Digital Group JH1 (Johor)","Princeton Digital Group",1.695,103.415,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Princeton Digital Group JH1 (Johor)",TRUE,FALSE,"Trade Press"
"K2 Strategic Sedenak (Johor)","K2 Strategic",1.703,103.413,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","K2 Strategic Sedenak (Johor)",TRUE,FALSE,"Trade Press"
"Open DC PE2 (Bayan Lepas, Penang)","Open DC",5.33,100.27,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Open DC PE2 (Bayan Lepas, Penang)",TRUE,FALSE,"Trade Press"
"Empyrion Digital MY1 (Nusajaya, Johor)","Empyrion Digital",1.48,103.7,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Empyrion Digital MY1 (Nusajaya, Johor)",TRUE,FALSE,"Trade Press"
"Bytedance (Johor)","Bytedance",1.693,103.418,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Bytedance (Johor)",TRUE,FALSE,"Trade Press"
"Google Elmina Business Park (Selangor)","Google",3.1,101.58,"Trade Press (NER extraction)",NA,NA,NA,NA,1,"Malaysia","MYS","Asia","South-Eastern Asia","Google Elmina Business Park (Selangor)",TRUE,FALSE,"Trade Press"
